uid,name,revision,origin,playerid,overallrating,preferredposition1,preferredposition2,preferredposition3,preferredposition4,trait1,trait2,icontrait1,icontrait2,role1,role2,role3,role4,role5,skillmoves,weakfootabilitytypecode,acceleration,sprintspeed,agility,balance,jumping,stamina,strength,reactions,aggression,composure,interceptions,positioning,vision,ballcontrol,crossing,dribbling,finishing,freekickaccuracy,headingaccuracy,longpassing,shortpassing,defensiveawareness,shotpower,longshots,standingtackle,slidingtackle,volleys,curve,penalties,gkdiving,gkhandling,gkkicking,gkreflexes,gkpositioning
1,Jamie Carragher,Prime Hero,N\A,5467,88,5,3,7,-1,8446976,0,2048,0,111,12,111,3,7,2,3,79,81,66,64,88,80,87,89,91,86,89,54,67,74,70,66,43,44,86,74,76,90,76,74,89,91,46,61,71,10,10,10,10,10
11,Tim Howard,Prime Hero,N\A,16254,89,0,-1,-1,-1,536870912,11,268435456,0,101,2,101,0,0,0,3,58,54,61,60,77,25,78,83,44,64,25,17,60,31,15,18,20,19,17,43,35,23,65,43,15,16,13,18,32,87,85,89,88,87
13,Maicon Douglas Sisenando,Prime Hero,N\A,135455,90,3,12,-1,-1,16812036,0,512,0,105,106,3,4,105,3,4,85,91,80,80,81,87,88,87,85,84,87,89,80,89,91,86,80,76,77,81,84,85,95,81,86,92,89,85,70,10,10,10,10,10
15,Blaise Matuidi,Prime Hero,N\A,170890,88,10,14,-1,-1,14692352,0,64,0,114,114,118,19,20,3,4,87,84,80,83,82,96,84,89,86,86,93,78,84,85,74,80,70,61,70,81,88,85,85,81,89,83,73,78,60,10,10,10,10,10
17,Mohammed Noor,Prime Hero,N\A,168880,88,18,14,-1,-1,1376800,0,2097152,0,131,32,131,21,22,3,4,81,88,80,82,81,80,87,87,75,92,63,90,85,88,82,85,86,82,78,87,88,60,89,87,71,58,82,79,88,10,10,10,10,10
19,Celia Šašić,Prime Hero,N\A,226306,91,25,-1,-1,-1,2359313,0,134217728,0,144,41,42,43,144,3,4,87,85,76,75,90,80,93,88,80,84,42,93,82,89,71,87,94,78,94,74,86,47,88,74,49,41,90,74,89,10,10,10,10,10
21,Jaap Stam,Prime Hero,N\A,5740,89,5,-1,-1,-1,134233088,0,32768,0,111,12,13,111,0,2,3,82,88,70,71,84,82,93,86,92,91,88,54,53,82,63,61,43,40,89,70,76,91,83,70,93,89,44,47,54,10,10,10,10,10
23,Fara Williams,Prime Hero,N\A,227271,88,14,10,-1,-1,204,0,262144,0,119,121,18,119,121,2,5,87,84,82,84,80,90,80,87,69,85,81,85,93,89,86,87,88,96,70,93,90,77,94,93,80,77,81,85,90,10,10,10,10,10
25,José Roberto da Silva Júnior,Prime Hero,N\A,28765,89,16,7,14,27,76284424,0,65536,0,127,127,122,9,18,4,4,90,88,95,89,86,96,78,87,80,91,87,90,88,88,87,92,77,88,69,87,90,81,87,87,80,78,84,87,84,10,10,10,10,10
27,Yaya Touré,Prime Hero,N\A,20289,89,14,14,18,10,19169316,0,1,0,20,0,0,0,0,3,4,80,84,80,71,80,95,94,89,83,88,81,86,92,92,76,86,82,86,74,88,93,80,92,88,89,86,75,87,88,10,10,10,10,10
29,Gianluigi Buffon,Icon,N\A,1179,91,0,-1,-1,-1,0,0,0,4,101,101,0,0,0,0,2,53,48,64,58,78,42,75,88,42,70,28,14,67,26,13,25,19,17,13,35,37,18,59,35,16,14,18,23,25,94,86,78,93,89
